Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ALMS1,ENSG00000116127,0.00000645496260021083,0.0000129708481506619,0.0000773711876314032,0.0770681464540885,pLoF,2073385958,2,73385958,
CSNK2A1,ENSG00000101266,0.0000106280484624133,0.00000675035026453941,0.0000561352732619813,0.407374743483533,pLoF,20000483867,20,483867,
SOCS1,ENSG00000185338,0.00003215075993801,0.0000176119702193223,0.0000978444172365922,0.370477827281345,pLoF,16011254692,16,11254692,
HHIPL2,ENSG00000143512,0.0000608480903778741,0.000045506760334213,0.00750394157908452,0.084412792254351,pLoF,1222522512,1,222522512,
CYP2D7,ENSG00000205702,0.000124588120669289,0.000692330518181627,0.000152641148918664,0.110107939376782,pLoF,22042140250,22,42140250,
ZC3H8,ENSG00000144161,0.000158809301644802,0.000243988741398971,0.0001523958567623,0.0640564248473303,pLoF,2112230845,2,112230845,
B3GALT6,ENSG00000176022,0.000217672448870943,0.00153721544390417,0.000201483157248994,0.149715041513584,pLoF,1001228365,1,1228365,
TMIGD3,ENSG00000121933,0.000219411945074466,0.000314301648095094,0.000323859237610025,0.185135722940576,pLoF,1111483643,1,111483643,
ADGRF4,ENSG00000153294,0.000224344149933886,0.00317531339768173,0.000147778627072825,0.104808980775801,pLoF,6047693581,6,47693581,
FAM171B,ENSG00000144369,0.000234489217250888,0.000143820041909493,0.00109445404218067,0.155200806728307,pLoF,2186694039,2,186694039,
ALG9,ENSG00000086848,0.000237030640673819,0.000533460849323819,0.000280566424989859,0.173111550832928,pLoF,11111786275,11,111786275,
OPRM1,ENSG00000112038,0.000278571255453053,0.0344554887996698,0.000128784350166833,0.0797813407506311,pLoF,6154010410,6,154010410,
NANOS1,ENSG00000188613,0.000278652358625897,0.000374330409140811,0.000405450062731072,0.181184033992552,pLoF,10119029730,10,119029730,
PDCD4,ENSG00000150593,0.000284886283818619,0.00166617232870814,0.000259158687488381,0.148027022070488,pLoF,10110875985,10,110875985,
PPT2,ENSG00000221988,0.00029686169736487,0.000274696470614844,0.000321644094954276,0.271500555222964,pLoF,6032149147,6,32149147,
TAF9,ENSG00000273841,0.000302863129435504,0.000243392937703035,0.000909988315086818,0.191096942538727,pLoF,5069364878,5,69364878,
GRB7,ENSG00000141738,0.000348621764251322,0.000417863442082833,0.000228148503314873,0.105351992209284,pLoF,17039738832,17,39738832,
GLRX5,ENSG00000182512,0.000356238970495415,0.00184695559086556,0.000325801149382743,0.205377499879059,pLoF,14095534996,14,95534996,
RAB6D,ENSG00000233087,0.000362233497147368,0.00163773458171979,0.000337713974519094,0.117297744151029,pLoF,2131362826,2,131362826,
FMN2,ENSG00000155816,0.000373320002663768,0.00271492071351109,0.00033069786442419,0.0453003573937421,pLoF,1240091946,1,240091946,
CUBN,ENSG00000107611,0.000408404185110678,0.0867069626114318,0.000182832022270873,0.0294517271622546,pLoF,10016824945,10,16824945,
HLA-E,ENSG00000204592,0.000424344764435092,0.000963637552301888,0.000305880586786378,0.227812332011565,pLoF,6030486212,6,30486212,
BLZF1,ENSG00000117475,0.000461376106608236,0.000630698575229682,0.000675935754112733,0.169407224113373,pLoF,1169367617,1,169367617,
RANGRF,ENSG00000108961,0.000489102940980257,0.000609185229956566,0.000471283240982889,0.0549358242367312,pLoF,17008288701,17,8288701,
FBXW12,ENSG00000164049,0.000501232348055658,0.0288916423755892,0.000356236215472538,0.115349866595845,pLoF,3048372192,3,48372192,
RSBN1L,ENSG00000187257,0.000506905995442564,0.000797251247482977,0.0004647418903585,0.234301035570989,pLoF,7077696376,7,77696376,
ATM,ENSG00000149311,0.000510577803412127,0.187002168489877,0.00021255090817518,0.034180196289774,pLoF,11108222417,11,108222417,
SPATA2,ENSG00000158480,0.000523424113171411,0.000457720454603239,0.000529823252202855,0.253602044715363,pLoF,20049905518,20,49905518,
ADORA3,ENSG00000282608,0.000548738407501248,0.00250947616613484,0.000492305475210175,0.195938560403719,pLoF,1111499340,1,111499340,
DHODH,ENSG00000102967,0.000551656665292666,0.000786411770735573,0.000481740814892717,0.109121184785563,pLoF,16072005583,16,72005583,
PAPOLG,ENSG00000115421,0.000570125452504455,0.00343488773766509,0.00050737314321736,0.185206960641394,pLoF,2060756374,2,60756374,
EIF2A,ENSG00000144895,0.000580472468479587,0.00273866086263941,0.000520853865491389,0.136380676332875,pLoF,3150544401,3,150544401,
OR6X1,ENSG00000221931,0.000599257398195525,,,,pLoF,11123753538,11,123753538,
DUSP2,ENSG00000158050,0.00062005701294654,0.000416739540059607,0.000785016960215046,0.25693378565805,pLoF,2096138309,2,96138309,
SLC13A2,ENSG00000007216,0.000636102499233737,0.000727252785272192,0.00131621969571138,0.131122167806461,pLoF,17028468293,17,28468293,
KIF27,ENSG00000165115,0.000700046072888094,0.0956943145983123,0.000311342066852682,0.0451339726719306,pLoF,9083836859,9,83836859,
PDGFRA,ENSG00000134853,0.000711916377742594,0.000832388094224923,0.000656355135106534,0.232846567659176,pLoF,4054258730,4,54258730,
