Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
SLC25A24,ENSG00000085491,0.000005950205561156,0.003314604266203,0.00000289858346458338,0.0585370119329869,missense|LC,1108136598,1,108136598,
EIF2B1,ENSG00000111361,0.0000259359591530117,0.00557107438666271,0.0000133913917897965,0.0832287299484459,missense|LC,12123615407,12,123615407,
SPRYD7,ENSG00000123178,0.0000307928703255911,0.0000872595236658391,0.0000986780306744262,0.137798998268815,missense|LC,13049915053,13,49915053,
OXER1,ENSG00000162881,0.0000454415205173309,0.0000195071853350548,0.00951551878697254,0.03256343567733,missense|LC,2042762802,2,42762802,
SGF29,ENSG00000176476,0.0000659470969156528,0.00119557212392229,0.0000655148290051866,0.121854113146971,missense|LC,16028581022,16,28581022,
KLHL7,ENSG00000122550,0.000077283167537523,0.00123803620194696,0.0000968291353206086,0.102377238512995,missense|LC,7023105895,7,23105895,
IGF2BP2,ENSG00000073792,0.0000860377861334749,0.0118204953711976,0.0000489315030228754,0.0567343212038258,missense|LC,3185645499,3,185645499,
WAC,ENSG00000095787,0.0000895705824600634,0.000373404760369622,0.000450925042841943,0.065688032558072,missense|LC,10028533494,10,28533494,
MED14,ENSG00000180182,0.000128887178018289,0.0132618090219032,0.0000950848159155804,0.0329132873711246,missense|LC,23040646924,X,40646924,
DAPP1,ENSG00000070190,0.000135986930518306,0.00250563077550314,0.000111896472444695,0.110762485347341,missense|LC,4099816844,4,99816844,
RAB9A,ENSG00000123595,0.000150260306941541,0.0057710891013909,0.0000934625077597673,0.0926452964008956,missense|LC,23013708678,X,13708678,
CD276,ENSG00000103855,0.000152328847288663,0.00163328449316036,0.000137728161471506,0.0269121762002755,missense|LC,15073686226,15,73686226,
CLVS1,ENSG00000177182,0.00018202011493651,0.200124160796308,0.000104816299957289,0.0392947612299346,missense|LC,8061299789,8,61299789,
UNC93A,ENSG00000112494,0.00018595944097155,0.000283759905227776,0.000514598121239107,0.0295349157098355,missense|LC,6167291424,6,167291424,
MNT,ENSG00000070444,0.000213061228201417,0.00385786072166916,0.000268190082369557,0.0501170972573827,missense|LC,17002379076,17,2379076,
